,word,meaning,source
0,a,"('The name of the Latin script letter A/a.',)",https://api.dictionaryapi.dev/api/v2/entries/en/a
1,ability,"('Suitableness.',)",https://api.dictionaryapi.dev/api/v2/entries/en/ability
2,able,"('Easy to use.',)",https://api.dictionaryapi.dev/api/v2/entries/en/able
3,about,"('Moving around; astir.',)",https://api.dictionaryapi.dev/api/v2/entries/en/about
4,above,"('Heaven.',)",https://api.dictionaryapi.dev/api/v2/entries/en/above
5,abroad,"('Countries or lands abroad.',)",https://api.dictionaryapi.dev/api/v2/entries/en/abroad
6,absence,"('A state of being away or withdrawn from a place or from companionship; the period of being away.',)",https://api.dictionaryapi.dev/api/v2/entries/en/absence
7,absolute,"('That which is independent of context-dependent interpretation, inviolate, fundamental.',)",https://api.dictionaryapi.dev/api/v2/entries/en/absolute
8,accept,"('To receive, especially with a consent, with favour, or with approval.',)",https://api.dictionaryapi.dev/api/v2/entries/en/accept
9,achieve,"('To succeed in something, now especially in academic performance.',)",https://api.dictionaryapi.dev/api/v2/entries/en/achieve
10,across,"('(crosswords, often in combination) A word that runs horizontally in the completed puzzle grid or its associated clue.',)",https://api.dictionaryapi.dev/api/v2/entries/en/across
11,act,"('Something done, a deed.',)",https://api.dictionaryapi.dev/api/v2/entries/en/act
12,action,"('Something done so as to accomplish a purpose.',)",https://api.dictionaryapi.dev/api/v2/entries/en/action
13,active,"('A person or thing that is acting or capable of acting.',)",https://api.dictionaryapi.dev/api/v2/entries/en/active
14,activity,"('The state or quality of being active; activeness.',)",https://api.dictionaryapi.dev/api/v2/entries/en/activity
15,actor,"('A person who performs, plays a part in a theatrical play or film.',)",https://api.dictionaryapi.dev/api/v2/entries/en/actor
16,add,"('An act or instance of adding.',)",https://api.dictionaryapi.dev/api/v2/entries/en/add
17,address,"('Direction.',)",https://api.dictionaryapi.dev/api/v2/entries/en/address
18,admit,"('To allow to enter; to grant entrance (to), whether into a place, into the mind, or into consideration',)",https://api.dictionaryapi.dev/api/v2/entries/en/admit
19,adult,"('A fully grown human or animal.',)",https://api.dictionaryapi.dev/api/v2/entries/en/adult
